drug_group,2020,2021,2022,2023,2024,2025
dapagliflozin,1415,2063,3462,6023,7993,8332
dulaglutide,9364,11154,9652,7986,5882,4740
empagliflozin,3773,4387,5212,5893,5300,3443
exenatide,236,179,144,89,143,58
insulin glargine,9113,9498,8964,7912,9722,11985
liraglutide,1656,1473,1226,1313,1322,1828
metformin,9636,7971,7673,8450,7779,6736
naltrexone/bupropion,405,247,322,394,1275,2346
orlistat,529,401,171,313,269,218
phentermine,337,352,474,966,1275,1340
semaglutide,2840,3591,4659,7162,11091,16469
sitagliptin,2053,1762,1726,1277,1228,1012
tirzepatide,4,8,4939,20276,31737,59369
