drug_group,rnk,reaction_pt,n_reports,pct_of_drug_reports
dapagliflozin,1,DEATH,6634,22.7
dapagliflozin,2,DIZZINESS,1143,3.9
dapagliflozin,3,FATIGUE,1086,3.7
dapagliflozin,4,NAUSEA,1028,3.5
dapagliflozin,5,ACUTE KIDNEY INJURY,999,3.4
dapagliflozin,6,DYSPNOEA,980,3.3
dapagliflozin,7,BLOOD GLUCOSE INCREASED,943,3.2
dapagliflozin,8,DIARRHOEA,938,3.2
dapagliflozin,9,WEIGHT DECREASED,894,3.1
dapagliflozin,10,DEHYDRATION,873,3.0
dulaglutide,1,INJECTION SITE PAIN,6572,13.5
dulaglutide,2,BLOOD GLUCOSE INCREASED,5984,12.3
dulaglutide,3,NAUSEA,5245,10.8
dulaglutide,4,INCORRECT DOSE ADMINISTERED,4235,8.7
dulaglutide,5,DIARRHOEA,3202,6.6
dulaglutide,6,VOMITING,3150,6.5
dulaglutide,7,INAPPROPRIATE SCHEDULE OF PRODUCT ADMINISTRATION,3111,6.4
dulaglutide,8,EXTRA DOSE ADMINISTERED,2726,5.6
dulaglutide,9,DRUG INEFFECTIVE,2321,4.8
dulaglutide,10,GLYCOSYLATED HAEMOGLOBIN INCREASED,1991,4.1
empagliflozin,1,DIABETIC KETOACIDOSIS,2083,7.4
empagliflozin,2,EUGLYCAEMIC DIABETIC KETOACIDOSIS,1596,5.7
empagliflozin,3,BLOOD GLUCOSE INCREASED,1552,5.5
empagliflozin,4,FUNGAL INFECTION,1361,4.9
empagliflozin,5,WEIGHT DECREASED,1204,4.3
empagliflozin,6,URINARY TRACT INFECTION,1106,3.9
empagliflozin,7,NAUSEA,964,3.4
empagliflozin,8,DIZZINESS,923,3.3
empagliflozin,9,FOURNIER^S GANGRENE,900,3.2
empagliflozin,10,VOMITING,865,3.1
exenatide,1,BLOOD GLUCOSE INCREASED,123,14.5
exenatide,2,DEVICE LEAKAGE,115,13.5
exenatide,3,INCORRECT DOSE ADMINISTERED BY DEVICE,112,13.2
exenatide,4,WEIGHT DECREASED,99,11.7
exenatide,5,WRONG TECHNIQUE IN DEVICE USAGE PROCESS,82,9.7
exenatide,6,DEVICE MALFUNCTION,80,9.4
exenatide,7,DEVICE ISSUE,79,9.3
exenatide,8,NAUSEA,78,9.2
exenatide,9,PRODUCT DOSE OMISSION ISSUE,74,8.7
exenatide,10,INJECTION SITE HAEMORRHAGE,73,8.6
insulin glargine,1,BLOOD GLUCOSE INCREASED,8633,15.1
insulin glargine,2,OFF LABEL USE,7326,12.8
insulin glargine,3,INAPPROPRIATE SCHEDULE OF PRODUCT ADMINISTRATION,7291,12.7
insulin glargine,4,PRODUCT STORAGE ERROR,7073,12.4
insulin glargine,5,VISUAL IMPAIRMENT,3540,6.2
insulin glargine,6,DRUG INEFFECTIVE,2218,3.9
insulin glargine,7,INCORRECT DOSE ADMINISTERED,2207,3.9
insulin glargine,8,BLOOD GLUCOSE DECREASED,1933,3.4
insulin glargine,9,INJECTION SITE PAIN,1729,3.0
insulin glargine,10,PRODUCT DOSE OMISSION ISSUE,1681,2.9
liraglutide,1,NAUSEA,1147,13.0
liraglutide,2,VOMITING,806,9.1
liraglutide,3,DIARRHOEA,606,6.9
liraglutide,4,BLOOD GLUCOSE INCREASED,444,5.0
liraglutide,5,OFF LABEL USE,433,4.9
liraglutide,6,CONSTIPATION,384,4.4
liraglutide,7,DECREASED APPETITE,372,4.2
liraglutide,8,WEIGHT INCREASED,355,4.0
liraglutide,9,ABDOMINAL PAIN,330,3.7
liraglutide,10,ABDOMINAL PAIN UPPER,295,3.3
metformin,1,LACTIC ACIDOSIS,8762,18.2
metformin,2,ACUTE KIDNEY INJURY,5641,11.7
metformin,3,DIARRHOEA,3958,8.2
metformin,4,TOXICITY TO VARIOUS AGENTS,3137,6.5
metformin,5,METABOLIC ACIDOSIS,3107,6.4
metformin,6,DRUG INEFFECTIVE,3082,6.4
metformin,7,NAUSEA,2703,5.6
metformin,8,VOMITING,2496,5.2
metformin,9,HYPOGLYCAEMIA,2041,4.2
metformin,10,FATIGUE,1919,4.0
naltrexone/bupropion,1,NAUSEA,1214,24.3
naltrexone/bupropion,2,HEADACHE,730,14.6
naltrexone/bupropion,3,DIZZINESS,674,13.5
naltrexone/bupropion,4,CONSTIPATION,443,8.9
naltrexone/bupropion,5,VOMITING,396,7.9
naltrexone/bupropion,6,FATIGUE,367,7.4
naltrexone/bupropion,7,FEELING ABNORMAL,345,6.9
naltrexone/bupropion,8,PATIENT DISSATISFACTION WITH TREATMENT,332,6.7
