drug_group,reports,18-44,45-64,65+,age unknown
tirzepatide,116333,16.5,12.9,13.2,19.9
insulin glargine,57194,29.6,23.3,23.4,22.4
dulaglutide,48778,35.2,28.6,27.1,14.3
metformin,48245,92.4,92.0,93.5,64.5
semaglutide,45812,79.0,68.0,55.2,36.4
dapagliflozin,29288,90.5,89.6,92.2,79.5
empagliflozin,28008,79.5,73.7,67.8,44.3
sitagliptin,9058,82.1,81.2,83.4,41.0
liraglutide,8818,80.9,71.7,75.5,53.5
naltrexone/bupropion,4989,39.1,40.1,39.0,29.7
phentermine,4744,56.1,42.9,34.4,12.2
orlistat,1901,36.0,27.7,20.1,14.5
exenatide,849,68.4,67.7,39.1,38.3
