month,n_reports,prev_month,pct_change
2020-01,1560.0,,
2020-02,1115.0,1560.0,-28.5
2020-03,1406.0,1115.0,26.1
2020-04,746.0,1406.0,-46.9
2020-05,650.0,746.0,-12.9
2020-06,1388.0,650.0,113.5
2020-07,816.0,1388.0,-41.2
2020-08,901.0,816.0,10.4
2020-09,1522.0,901.0,68.9
2020-10,1994.0,1522.0,31.0
2020-11,1040.0,1994.0,-47.8
2020-12,962.0,1040.0,-7.5
2021-01,1883.0,962.0,95.7
2021-02,1424.0,1883.0,-24.4
2021-03,1350.0,1424.0,-5.2
2021-04,1231.0,1350.0,-8.8
2021-05,1212.0,1231.0,-1.5
2021-06,1209.0,1212.0,-0.2
2021-07,2325.0,1209.0,92.3
2021-08,1236.0,2325.0,-46.8
2021-09,1307.0,1236.0,5.7
2021-10,1076.0,1307.0,-17.7
2021-11,1176.0,1076.0,9.3
2021-12,976.0,1176.0,-17.0
2022-01,2161.0,976.0,121.4
2022-02,1400.0,2161.0,-35.2
2022-03,1220.0,1400.0,-12.9
2022-04,1165.0,1220.0,-4.5
2022-05,1303.0,1165.0,11.8
2022-06,1230.0,1303.0,-5.6
2022-07,2677.0,1230.0,117.6
2022-08,1520.0,2677.0,-43.2
2022-09,1830.0,1520.0,20.4
2022-10,2174.0,1830.0,18.8
2022-11,2165.0,2174.0,-0.4
2022-12,1775.0,2165.0,-18.0
2023-01,3953.0,1775.0,122.7
2023-02,2792.0,3953.0,-29.4
2023-03,3299.0,2792.0,18.2
2023-04,2323.0,3299.0,-29.6
2023-05,2898.0,2323.0,24.8
2023-06,3091.0,2898.0,6.7
2023-07,5184.0,3091.0,67.7
2023-08,3329.0,5184.0,-35.8
2023-09,2560.0,3329.0,-23.1
2023-10,2634.0,2560.0,2.9
2023-11,2370.0,2634.0,-10.0
2023-12,2393.0,2370.0,1.0
2024-01,5136.0,2393.0,114.6
2024-02,3671.0,5136.0,-28.5
2024-03,3405.0,3671.0,-7.2
2024-04,3653.0,3405.0,7.3
2024-05,3503.0,3653.0,-4.1
2024-06,3255.0,3503.0,-7.1
2024-07,7210.0,3255.0,121.5
2024-08,4355.0,7210.0,-39.6
2024-09,3866.0,4355.0,-11.2
2024-10,4306.0,3866.0,11.4
2024-11,3939.0,4306.0,-8.5
2024-12,3876.0,3939.0,-1.6
2025-01,4469.0,3876.0,15.3
2025-02,4771.0,4469.0,6.8
2025-03,5774.0,4771.0,21.0
2025-04,5468.0,5774.0,-5.3
2025-05,6298.0,5468.0,15.2
2025-06,6311.0,6298.0,0.2
2025-07,15568.0,6311.0,146.7
2025-08,7808.0,15568.0,-49.8
2025-09,6455.0,7808.0,-17.3
2025-10,6432.0,6455.0,-0.4
2025-11,7398.0,6432.0,15.0
2025-12,5712.0,7398.0,-22.8
