drug_group,reports,pct_consumer,pct_physician,pct_other_hcp,pct_lawyer,pct_serious
tirzepatide,116333,94.3,1.7,3.5,0.4,15.7
orlistat,1901,89.2,3.1,7.1,0.1,19.9
dulaglutide,48778,86.7,4.3,7.5,1.5,20.5
phentermine,4744,83.9,5.1,9.6,0.1,20.7
naltrexone/bupropion,4989,81.9,7.3,10.4,0.0,33.4
insulin glargine,57194,81.3,4.5,13.9,0.0,23.5
semaglutide,45812,72.1,14.8,11.6,1.3,50.7
exenatide,849,70.2,10.4,9.8,1.8,44.8
liraglutide,8818,63.8,16.4,17.4,2.0,66.1
empagliflozin,28008,48.0,28.6,22.9,0.0,60.2
dapagliflozin,29288,45.9,32.0,20.5,0.2,85.3
sitagliptin,9058,38.4,27.8,32.5,0.5,68.0
metformin,48245,24.0,32.7,42.0,0.1,85.1
