reaction_pt,glp1_reports,pct_glp1,pct_other,times_more_common
INJECTION SITE COLDNESS,325,0.15,0.0,
DRUG DOSE TITRATION NOT PERFORMED,210,0.1,0.0,
CYCLIC VOMITING SYNDROME,231,0.11,0.0,
THERAPEUTIC RESPONSE CHANGED,1205,0.55,0.01,55.0
INJECTION SITE ERYTHEMA,5401,2.48,0.07,35.4
PRODUCT ADMINISTERED AT INAPPROPRIATE SITE,1468,0.67,0.02,33.5
GASTROINTESTINAL HYPOMOTILITY,709,0.33,0.01,33.0
WEIGHT LOSS POOR,661,0.3,0.01,30.0
EXTRA DOSE ADMINISTERED,10929,5.02,0.17,29.5
INJECTION SITE RASH,1624,0.75,0.03,25.0
INJECTION SITE IRRITATION,506,0.23,0.01,23.0
PRODUCT TAMPERING,474,0.22,0.01,22.0
OPTIC ISCHAEMIC NEUROPATHY,465,0.21,0.01,21.0
INJECTION SITE HYPERSENSITIVITY,464,0.21,0.01,21.0
INJECTION SITE PRURITUS,3051,1.4,0.07,20.0
IMPAIRED GASTRIC EMPTYING,3721,1.71,0.09,19.0
INJECTION SITE VESICLES,373,0.17,0.01,17.0
ERUCTATION,3462,1.59,0.1,15.9
ILEUS,651,0.3,0.02,15.0
INJECTION SITE URTICARIA,1316,0.6,0.04,15.0
