drug_group,reaction_pt,a,n_drug,n_reaction,n_total,b,c,d,prr,ror,ror_ci_low,ror_ci_high,chi2,is_signal,ror_signal,high_confidence
dapagliflozin,CARDIOSPASM,362,29288,363,383296,28926,1,354007,4375.542747883092,4430.288805918551,622.3347565780099,31538.426379672925,4352.578412284468,True,True,True
dapagliflozin,PALMOPLANTAR KERATODERMA,352,29288,353,383296,28936,1,354007,4254.671401256487,4306.4163671551005,604.8876072543212,30658.95499410379,4231.484474586616,True,True,True
dapagliflozin,IMMUNISATION,237,29288,237,383296,29051,0,354008,5741.209157021407,5788.136154759651,360.95923654869415,92815.24547306137,2852.3050526529914,True,True,True
dapagliflozin,ATRIAL TACHYCARDIA,362,29288,368,383296,28926,6,354002,729.257124647182,738.3710387425384,329.50344833662683,1654.585994792859,4283.672370643325,True,True,True
dapagliflozin,CAROTID ARTERY OCCLUSION,360,29288,389,383296,28928,29,353979,150.04718891578523,151.90203501678366,104.03292496466669,221.79736126881957,3965.4789991085768,True,True,True
dapagliflozin,STEROID DEPENDENCE,120,29288,129,383296,29168,9,353999,161.16179550213968,161.8207167672335,82.18669277244331,318.6153803215353,1320.9427970399654,True,True,True
dapagliflozin,BURNS SECOND DEGREE,127,29288,137,383296,29161,10,353998,153.50661021578804,154.17079661191318,80.9801764121951,293.5117652370598,1393.0086416371414,True,True,True
dapagliflozin,SUBARACHNOID HAEMORRHAGE,362,29288,414,383296,28926,52,353956,84.14505284390562,85.1855876267824,63.68284358293258,113.9488115016433,3728.288986518492,True,True,True
dapagliflozin,CATARRH,124,29288,138,383296,29164,14,353994,107.05747844070707,107.50841546329134,61.85714277624408,186.8508449741469,1310.5580366032652,True,True,True
dapagliflozin,FACIAL PAIN,353,29288,418,383296,28935,65,353943,65.64243901414073,66.43106113171432,50.97564895176079,86.57243161851166,3487.2466934509416,True,True,True
dapagliflozin,TENSION HEADACHE,350,29288,418,383296,28938,68,353940,62.2131931166348,62.95355587808418,48.53915805653346,81.64851547443816,3422.28051718956,True,True,True
dapagliflozin,ANOSMIA,353,29288,428,383296,28935,75,353933,56.8901138122553,57.57195967974195,44.85974306187793,73.88652531499987,3389.640403143995,True,True,True
dapagliflozin,ALCOHOL POISONING,78,29288,92,383296,29210,14,353994,67.34260740625122,67.51976329045826,38.221250388539204,119.27706154183082,765.0558823329357,True,True,True
dapagliflozin,RASH PAPULAR,278,29288,350,383296,29010,72,353936,46.669769947494615,47.10741889769811,36.342006186620694,61.06181656036837,2547.9903005556903,True,True,True
dapagliflozin,LUPUS NEPHRITIS,22,29288,23,383296,29266,1,354007,265.91696257853044,266.1161074284152,35.86804568015252,1974.3975811885018,240.14328592014812,True,True,True
dapagliflozin,PRURITUS GENITAL,447,29288,580,383296,28841,133,353875,40.62367815194912,41.23779639105044,33.96702334111016,50.06490660403425,3957.6737905382756,True,True,True
dapagliflozin,HYPOPNOEA,127,29288,160,383296,29161,33,353975,46.517154610844855,46.71538782080259,31.846392989721338,68.52667615928603,1156.9748164433029,True,True,True
dapagliflozin,RHINITIS,128,29288,162,383296,29160,34,353974,45.50450696531002,45.69986282578875,31.304204651492277,66.71555740025327,1159.702835457474,True,True,True
dapagliflozin,MUSCULOSKELETAL TOXICITY,19,29288,20,383296,29269,1,354007,229.65555859054902,229.80399057022788,30.761805151770623,1716.7352117813443,204.08604833641868,True,True,False
dapagliflozin,BLOOD ALBUMIN ABNORMAL,20,29288,20,383296,29268,0,354008,495.5570009218479,495.9033944342894,29.991011410905784,8199.796040290443,228.33561393571733,True,True,True
dapagliflozin,SCAN ABNORMAL,20,29288,22,383296,29268,2,354006,120.87134662660475,120.95325953259533,28.269412826802757,517.5095457833023,204.51855846584445,True,True,True
dapagliflozin,CHEST WALL MASS,19,29288,21,383296,29269,2,354006,114.82777929527451,114.90167070962451,26.76191397243329,493.327717347212,192.62193035991083,True,True,False
dapagliflozin,MUSCLE TWITCHING,356,29288,505,383296,28932,149,353859,28.879328455752546,29.222375632935176,24.12665829250754,35.39434377024996,2821.7963752565934,True,True,True
dapagliflozin,VASCULAR PSEUDOANEURYSM,17,29288,19,383296,29271,2,354006,102.74064463261404,102.79973352464897,23.74913404120024,444.97560182218564,168.88939767713052,True,True,False
dapagliflozin,VENTRICULAR TACHYCARDIA,409,29288,586,383296,28879,177,353831,27.930158627277596,28.311558082887434,23.72478561198828,33.78510281145316,3203.868269419014,True,True,True
dapagliflozin,LEUKOCYTURIA,19,29288,22,383296,29269,3,354005,76.55185286351634,76.60089742275673,22.66630328185279,258.87315690642515,182.20751780779213,True,True,False
dapagliflozin,GINGIVAL PAIN,131,29288,185,383296,29157,54,353954,29.32249334830597,29.44974397863927,21.445111617406354,40.44219661246477,1037.626013814694,True,True,True
dapagliflozin,BLOOD ALKALINE PHOSPHATASE ABNORMAL,20,29288,24,383296,29268,4,354004,60.435673313302374,60.4762880962143,20.66928864928375,176.9476194345493,184.27438373992686,True,True,True
dapagliflozin,EYE PRURITUS,359,29288,537,383296,28929,178,353830,24.37798507806242,24.66809868873076,20.60301111271435,29.535250434410475,2663.1674068022353,True,True,True
